open weathermap code,short code
200,0
201,1
202,2
210,3
211,4
212,5
221,6
230,7
231,8
232,9
300,10
301,11
302,12
310,13
311,14
312,15
313,16
314,17
321,18
500,19
501,20
502,21
503,22
504,23
511,24
520,25
521,26
522,27
531,28
600,29
601,30
602,31
611,32
612,33
615,34
616,35
620,36
621,37
622,38
701,39
711,40
721,41
731,42
741,43
751,44
761,45
762,46
771,47
781,48
800,49
801,50
802,51
803,52
804,53
900,54
901,55
902,56
903,57
904,58
905,59
906,60
951,61
952,62
953,63
954,64
955,65
956,66
957,67
958,68
959,69
960,70
961,71
962,72
